"Customer ID",Recency_Score,Frequency_Score,Monetary_Score,RFM_Score
13585,1,1,1,111
13381,1,1,1,111
13666,3,1,1,311
15999,4,1,1,411
18037,1,1,1,111
17246,1,1,1,111
17916,5,1,1,511
14865,1,1,1,111
17557,5,1,1,511
14710,2,1,1,211
17193,2,1,1,211
17707,5,1,1,511
17035,3,1,1,311
15287,2,1,1,211
18225,4,1,1,411
13208,2,1,1,211
17076,4,1,1,411
12523,5,1,1,511
17436,5,1,1,511
16593,4,1,1,411
15833,2,1,1,211
14717,4,1,1,411
14347,2,1,1,211
17867,2,1,1,211
17606,2,1,1,211
14122,1,1,1,111
15420,4,1,1,411
17969,5,1,1,511
13487,4,1,1,411
15662,1,1,1,111
17935,4,1,1,411
16301,3,1,1,311
13807,3,1,1,311
14590,5,1,1,511
16883,4,1,1,411
15684,4,1,1,411
14467,1,1,1,111
14662,2,1,1,211
14750,2,1,1,211
13457,1,1,1,111
17322,3,1,1,311
14302,1,1,1,111
17293,3,1,1,311
15571,4,1,1,411
14838,2,1,1,211
14057,2,1,1,211
14483,2,1,1,211
15945,1,1,1,111
17804,1,1,1,111
15759,2,1,1,211
14454,4,1,1,411
13679,3,1,1,311
12948,1,1,1,111
17056,1,1,1,111
12362,1,1,1,111
17818,2,1,1,211
16410,4,1,1,411
17421,4,1,1,411
16467,2,1,1,211
13782,4,1,1,411
17909,2,1,1,211
14239,4,1,1,411
16699,4,1,1,411
16773,5,1,1,511
17127,4,1,1,411
13199,4,1,1,411
17150,5,1,1,511
12636,1,1,1,111
14723,3,1,1,311
17155,3,1,1,311
15989,2,1,1,211
14574,5,1,1,511
14871,1,1,1,111
16158,4,1,1,411
13190,5,1,1,511
15479,4,1,1,411
17592,1,1,1,111
12820,4,1,1,411
13733,3,1,1,311
15641,4,1,1,411
14980,2,1,1,211
17372,3,1,1,311
18219,5,1,1,511
14512,5,1,1,511
17314,3,1,1,311
13070,5,1,1,511
13948,3,1,1,311
14540,5,1,1,511
15967,1,1,1,111
16987,2,1,1,211
14238,4,1,1,411
13654,1,1,1,111
15550,3,1,1,311
16645,4,1,1,411
14713,2,1,1,211
15691,4,1,1,411
17660,2,1,1,211
14955,5,1,2,512
16325,4,2,2,422
17988,5,2,2,522
13485,2,2,2,222
15965,3,2,2,322
12937,2,2,2,222
13748,1,2,2,122
13693,5,2,2,522
16126,2,2,2,222
17432,3,2,2,322
17848,5,2,2,522
18001,2,2,2,222
16797,2,2,2,222
14799,2,2,2,222
12934,2,2,2,222
14940,4,2,2,422
17085,5,2,2,522
14958,3,2,2,322
16556,5,2,2,522
16277,5,2,2,522
16168,3,2,2,322
16823,2,2,2,222
14670,5,2,2,522
15115,5,2,2,522
14000,1,2,2,122
17561,5,2,2,522
16011,1,2,2,122
17764,3,2,2,322
16018,5,2,2,522
16321,1,2,2,122
17343,3,2,2,322
13442,1,2,2,122
14915,3,2,2,322
14867,4,2,2,422
13979,2,2,2,222
14468,4,2,2,422
15860,4,2,2,422
14987,2,2,2,222
14471,5,2,2,522
14003,5,2,2,522
17271,3,2,2,322
12577,2,2,2,222
14608,4,2,2,422
18077,5,2,2,522
15878,4,2,2,422
13890,4,2,2,422
15716,5,2,2,522
14106,1,2,2,122
16351,4,2,2,422
17019,2,2,2,222
14037,5,2,2,522
17742,1,2,2,122
16887,1,2,2,122
12748,3,2,2,322
16702,5,2,2,522
17087,2,2,2,222
16918,3,2,2,322
13491,5,2,2,522
15750,1,2,2,122
14425,1,2,2,122
13641,4,2,2,422
16768,5,2,2,522
18071,4,2,2,422
13416,2,2,2,222
17984,1,2,2,122
15223,4,2,2,422
17189,2,2,2,222
15109,3,2,2,322
