"Customer ID",LastPurchaseDate,Frequency,Monetary
12359,"2009-12-05 13:32:00",1,760.69
12362,"2009-12-01 10:10:00",1,130
12417,"2009-12-06 10:30:00",1,309.1
12435,"2009-12-02 13:58:00",1,1008
12437,"2009-12-02 16:24:00",1,578.28
12443,"2009-12-07 15:42:00",1,485.31
12471,"2009-12-07 10:42:00",2,1176.02
12490,"2009-12-01 12:52:00",1,603.94
12510,"2009-12-04 13:47:00",1,435.88
12523,"2009-12-07 13:46:00",1,74.56
12533,"2009-12-01 11:50:00",1,929.92
12540,"2009-12-07 16:56:00",1,412.6
12577,"2009-12-03 19:31:00",1,210.55
12583,"2009-12-06 11:57:00",1,817.44
12600,"2009-12-07 13:37:00",1,285.9
12636,"2009-12-01 09:55:00",1,141
12682,"2009-12-01 09:28:00",1,426.3
12714,"2009-12-04 10:00:00",1,682.65
12747,"2009-12-07 13:23:00",1,380.65
12748,"2009-12-04 17:31:00",1,220.9
12758,"2009-12-01 14:40:00",1,2454.68
12759,"2009-12-04 10:47:00",1,508.26
12779,"2009-12-03 07:25:00",1,371.82
12820,"2009-12-05 13:37:00",1,148.3
12835,"2009-12-04 14:52:00",2,479.62
12836,"2009-12-01 14:19:00",1,423.87
12839,"2009-12-07 09:18:00",1,346
12842,"2009-12-02 08:15:00",1,397.2
12872,"2009-12-03 20:03:00",1,407.22
12913,"2009-12-07 14:56:00",2,741.96
12921,"2009-12-03 10:28:00",2,1254
12931,"2009-12-03 17:48:00",2,1268.75
12934,"2009-12-03 10:51:00",1,181.65
12937,"2009-12-03 15:43:00",1,170.06
12948,"2009-12-02 12:28:00",1,128.48
12949,"2009-12-03 15:56:00",1,1794.7
12970,"2009-12-04 14:19:00",1,260.64
12975,"2009-12-06 10:38:00",1,441.63
12980,"2009-12-02 11:26:00",1,754.2
13001,"2009-12-03 16:21:00",1,869.93
13019,"2009-12-06 15:40:00",1,255
13021,"2009-12-05 12:02:00",1,233.71
13037,"2009-12-03 17:04:00",1,313.19
13042,"2009-12-07 15:42:00",1,668.1
13070,"2009-12-07 14:44:00",1,154.2
13078,"2009-12-01 09:06:00",1,630.33
13085,"2009-12-03 14:07:00",4,1096.8
13089,"2009-12-07 14:02:00",2,1612.42
13093,"2009-12-04 16:39:00",2,993.47
13097,"2009-12-01 13:31:00",1,551.33
13110,"2009-12-01 14:14:00",1,362.78
13148,"2009-12-07 15:26:00",1,331.4
13154,"2009-12-04 08:46:00",1,337.1
13162,"2009-12-04 13:59:00",1,694.2
13174,"2009-12-04 15:40:00",1,630.39
13175,"2009-12-04 12:11:00",1,319.15
13190,"2009-12-07 12:13:00",1,147.1
13199,"2009-12-05 10:11:00",1,138.24
13206,"2009-12-07 13:48:00",1,1066.82
13208,"2009-12-03 13:25:00",1,61.12
13211,"2009-12-06 15:24:00",1,235.84
13234,"2009-12-07 12:32:00",1,238.85
13267,"2009-12-07 16:56:00",1,306.55
13269,"2009-12-02 11:48:00",2,202.84
13313,"2009-12-02 16:24:00",2,383.89
